site_id,ix,iy,x_center_mm,y_center_mm,n_points,complete,sfqr_nm,sfqr
119,4,2,100.0,50.0,441,True,508.3061600950271,5.083061600950271e-07
120,4,3,100.0,75.00000000000001,462,True,525.4869125392859,5.254869125392858e-07
121,4,4,100.0,100.0,332,False,525.938507868885,5.259385078688851e-07
122,4,5,100.0,125.0,13,False,23.121269610059183,2.3121269610059184e-08
123,5,-4,125.0,-100.0,13,False,12.036204915665156,1.2036204915665157e-08
124,5,-3,125.0,-75.00000000000001,254,False,396.0315491352128,3.960315491352128e-07
125,5,-2,125.0,-50.0,429,False,514.1702065202804,5.141702065202805e-07
126,5,-1,125.0,-25.0,441,True,564.8434415910278,5.648434415910278e-07
127,5,0,125.0,0.0,462,True,522.869896080766,5.22869896080766e-07
128,5,1,125.0,25.0,441,True,556.9769567202471,5.569769567202471e-07
129,5,2,125.0,50.0,429,False,506.49847568233315,5.064984756823331e-07
130,5,3,125.0,75.00000000000001,254,False,412.4183340490782,4.1241833404907823e-07
131,5,4,125.0,100.0,13,False,24.641333629972767,2.4641333629972766e-08
132,6,-2,150.00000000000003,-50.0,30,False,64.59487082011552,6.459487082011552e-08
133,6,-1,150.00000000000003,-25.0,135,False,269.83704379669564,2.6983704379669564e-07
134,6,0,150.00000000000003,0.0,176,False,268.88062217667954,2.688806221766795e-07
135,6,1,150.00000000000003,25.0,135,False,188.065622617941,1.88065622617941e-07
136,6,2,150.00000000000003,50.0,30,False,59.415559782827025,5.9415559782827025e-08
