site_id,x_center_mm,y_center_mm,n_points,tilt_urad,standoff_um,loss_angular_db,loss_lateral_db,loss_gap_db,loss_total_db
130,20.0,40.0,169,544.7110062887797,-2.882945005217305,0.00014313955041935972,0.19062063702764573,-0.03759581445249849,0.1531679621255666
131,20.0,50.0,156,640.9230605938703,2.3179681667732965,0.00019817056310032414,0.2639060893208024,0.03418010115234729,0.29828436103625
132,20.0,60.0,169,723.7058282734092,8.537753686169006,0.00025266872448713527,0.3364819372255498,0.14260176193722737,0.4793363678872643
136,30.0,-50.0,156,767.716402856081,4.645720183389291,0.0002843341259545796,0.37865112793333344,0.07195834902838358,0.45089381108767157
137,30.0,-40.0,169,652.3745541912252,-0.8604520487459745,0.0002053153282639076,0.2734208578310088,-0.011797321244224557,0.2618288519150481
138,30.0,-30.0,169,548.6821865326342,-5.027766744979038,0.00014523425755741216,0.1934101833680673,-0.06195031453669152,0.1316051030889332
139,30.0,-20.0,169,467.9696279199934,-7.892817865410808,0.00010564834121723836,0.14069314906147892,-0.08956868637938448,0.05123011102331168
140,30.0,-10.0,169,412.94105476956,-9.473964803324172,8.226279725631497e-05,0.10955034279997267,-0.10236740133467191,0.007265204262557071
141,30.0,0.0,156,401.6178971919221,-9.817658001736534,7.78132336465514e-05,0.10362480616594504,-0.10491735583231301,-0.0012147364327214222
142,30.0,10.0,169,412.93076983491517,-8.92011340170702,8.22586995433489e-05,0.10954488582701404,-0.09808349683310735,0.011543647693450038
143,30.0,20.0,169,462.4886676872781,-6.905542540898045,0.0001031880817543723,0.13741679235439938,-0.08069240108608204,0.056827579350071725
144,30.0,30.0,169,528.6820323682767,-3.7667281645590402,0.0001348392875955773,0.17956707857835008,-0.04800884493257347,0.13169307293337218
145,30.0,40.0,169,615.5700874603433,0.44106491496582495,0.0001828025978991308,0.2434403877876645,0.006235402360097619,0.24985859274566125
146,30.0,50.0,156,692.4709732070734,5.673401372580074,0.00023132922059343974,0.308063866789023,0.0897149030740956,0.398010099083712
150,40.0,-50.0,156,872.0119582397358,9.84607584929729,0.00036683623619966903,0.48852016667887477,0.16838328564968472,0.6572702885647591
